id;title;problems;description;solution;target_audience;stake_holder;slack_channel;ministry_project
1;Specialist Handmade Granite Bacon Lead;Producer;withdrawal;AGP;Pula connecting;Knoll Representative pixel;input generating;true
2;sexy;Checking Account concept;Facilitator Pants AI;Mobility Supervisor Greens;Maryland Awesome THX;SCSI scalable reintermediate;mobile Surinam Dollar;true
3;Mountains Tasty Metal Bike;lavender Gorgeous Plastic Chicken redundant;User-friendly Engineer;invoice frame Berkshire;synergize engineer;withdrawal;purple Rustic Metal Keyboard Berkshire;false
4;Investment Account middleware Extension;Benin discrete;didactic Singapore Dollar;Concrete Chips;Global Steel;Home Loan Account;Assistant Plastic;false
5;connect matrix;withdrawal Auto Loan Account;markets open-source portals;Plastic Granite 1080p;Games Nevada;Mississippi Savings Account haptic;Multi-channelled Generic Developer;false
6;software;SDR RAM;archive payment web-enabled;hack Buckinghamshire Practical;Future-proofed deposit Steel;1080p Gloves;Unbranded;false
7;fault-tolerant Arizona Response;Granite bandwidth User-friendly;Arizona;Cheese Soap;Paradigm bypass West Virginia;holistic real-time;efficient bi-directional;false
8;generating Upgradable;lime;Human;Directives;Louisiana;Bedfordshire;Corporate interface;false
9;Configuration schemas logistical;relationships cyan;frictionless Fantastic Wooden Bike;purple invoice;alarm Tennessee cross-platform;Bacon;Intuitive internet solution mission-critical;false
10;Architect;mint green;back up national silver;generate;engage;empower monitor Chief;Licensed Fresh Soap Director Avon;true
